id,user_id,event_type,resource,resource_id,action,ip_address,created_at
690d12e4-189c-47da-b213-84aa894ab6a3,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,c43f9247-d989-47ec-823b-aef155ee1be0,execute,,2026-06-16T10:21:08.351506
c28229e4-2037-4740-bdc8-68a73eee63d2,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,7894f22e-2f7b-4299-a0c0-a575f7dc78fa,execute,,2026-06-16T10:21:09.020703
49f61ee6-ed4b-46eb-9bce-e1e8e35c7f54,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,cb36d1f7-7675-45ac-b37a-c5282a4bcb46,execute,,2026-06-16T10:21:09.652452
28b9c8f4-927e-4994-83e7-a4cee1c067d8,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,123e93ac-7002-4089-af1b-0d2562c1ebd3,execute,,2026-06-16T10:21:10.528987
06bd3025-2c4e-418d-866c-56c545b41fed,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,23c9ebd6-8e73-483e-b80f-7b770e7698b0,execute,,2026-06-16T10:21:11.348089
13a0b57b-a3b3-4533-b72e-500693ae38eb,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,59096c8f-5204-4da5-a643-ee6a1df95c16,execute,,2026-06-16T10:21:12.001055
fc3a953a-cd22-4a02-b14e-65e5f3e05fc4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,d7f77f66-7f56-4cdd-aa69-c98a2c17c4aa,execute,,2026-06-16T10:21:12.613058
907ccf0e-55d3-4985-8dbe-6441243891c4,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,7ec007d1-9749-4137-9f9a-080ca06d5a53,execute,,2026-06-16T10:21:13.426533
161540f7-d51d-444d-8129-39564c00aef2,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,7d8ef6c5-0ea2-4dd9-a50f-fba3ea6725d0,execute,,2026-06-16T10:21:14.040292
473851a3-f493-44c1-8e63-0df8c03aeaf7,9ca7ee58-c743-44a3-9bed-dfb3bf141a26,gateway.request,gateway_request,46d8db14-f63d-4840-8fc0-d53e3e7644ba,execute,,2026-06-16T10:21:14.631872
